"Story","Title","Result","Date","Stability","Duration (s)"
"Register of user","successful user registration","SUCCESS","2023-12-02T21:04:28.223-05:00[America/Bogota]","0.0","0.31"
"Register of user","successful user registration","SUCCESS","2023-12-03T20:54:57.913-05:00[America/Bogota]","0.0","11.83"
